formula,T(K),k(W/mK),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
ZnO,300,48.7,Zn1 O1,8,30,22,19,11,8,69,87,18,78,9,69,15.9994,65.38,49.3806,40.6897,24.6903,15.9994,54.8,692.68,637.88,373.74,318.94,54.8,12,16,4,14,2,12,2,4,2,3,1,2,66,122,56,94,28,66,1.65,3.44,1.79,2.545,0.895,1.65,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,0,0,0,0,0,6,12,6,9,3,6,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,13.96,4.855,11.5325,2.4275,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,103,91,12
In1.8Ge0.2O3,1000,1.631,In1.8 Ge0.2 O3,8,49,41,23.72,18.864,8,75,87,12,82.36,5.568,87,15.9994,114.818,98.8186,53.83972,45.408384,15.9994,54.8,1211.4,1156.6,236.046,217.4952,54.8,13,16,3,14.84,1.392,16,2,5,3,3.16,1.392,2,66,142,76,95.52,35.424,66,1.78,3.44,1.66,2.7852,0.78576,3.44,2,2,0,2,0,2,1,4,3,2.84,1.392,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,14,8,8.84,3.408,6,0,0,0,0,0,0,2,5,3,3.16,1.392,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.16,1.392,2,9.105,24.26,15.155,15.1168,7.21416,9.105,0,0.383,0.383,0.01532,0.0294144,0,0,0,0,0,0,0,12,225,213,66.24,65.088,12
Ca0.9Y0.1MnO3,300,1.489,Ca0.9 Y0.1 Mn1 O3,8,39,31,14.18,7.416,8,7,87,80,64.1,27.48,87,15.9994,88.90585,72.90645,29.579406,16.2960072,15.9994,54.8,1799,1744.2,573.36,622.272,54.8,2,16,14,11.42,5.496,16,2,5,3,2.82,0.984,2,66,190,124,102.88,44.256,66,1,3.44,2.44,2.5784,1.03392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.02,1.592,0,0,0,0,0,0,0,2,7,5,5.42,1.328,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.18,1.8408,0,0,0,0,0,0,0,0,9,9,2.38,1.3128,2,9.105,37.77,28.665,15.00641724,8.889233103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,94.98,99.576,12
NbCo1.05Sn,400,7.01,Nb1 Co1.05 Sn1,27,50,23,39.13114754,8.352593389,27,47,80,33,61.60655738,12.06127385,58,58.933195,118.71,59.776805,89.67089664,21.16366342,58.933195,505.08,2750,2244.92,1675.895082,767.7475947,1768,5,14,9,9.327868852,3.063692556,9,4,5,1,4.655737705,0.451491535,4,126,164,38,142.7213115,13.95323838,126,1.6,1.96,0.36,1.81442623,0.140607364,1.88,1,2,1,1.672131148,0.440741736,2,0,2,2,0.655737705,0.881483472,0,4,10,6,7,1.967213115,7,0,0,0,0,0,0,5,14,9,9.327868852,3.063692556,9,0,1,1,0.327868852,0.440741736,0,0,4,4,1.31147541,1.762966944,0,0,6,6,3,1.967213115,3,0,0,0,0,0,0,3,7,4,4.639344262,1.547970976,3,10.245,33.285,23.04,20.4007377,8.448696587,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.533080249,0.699121638,1.5484712,141,229,88,188.0983607,30.88417092,194
SrNd0.2Ti0.8O3,700,3.45,Sr1 Nd0.2 Ti0.8 O3,8,60,52,18.32,12.384,8,8,87,79,61.44,30.672,87,15.9994,144.242,128.2426,40.55204,29.463168,15.9994,54.8,1941,1886.2,605.2,660.48,54.8,2,16,14,10.76,6.288,16,2,6,4,3.08,1.296,2,66,201,135,112.24,55.488,66,0.95,3.44,2.49,2.546,1.0728,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,2,2,0.32,0.5376,0,0,4,4,0.16,0.3072,0,2,6,4,4.88,1.4336,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,8,8,1.28,2.1504,0,0,10,10,0.4,0.768,0,0,10,10,2.88,2.208,2,9.105,54.23,45.125,20.3718,14.698336,9.105,0,0,0,0,0,0,0,2.25E-05,2.25E-05,3.61E-06,6.06E-06,0,12,225,213,91,94.8,12
Cr1.3Mo6S8,300,1.938,Cr1.3 Mo6 S8,16,42,26,26.87581699,11.86210432,16,49,88,39,69.78431373,19.04908369,88,32.065,95.96,63.895,58.8153549,29.13305498,32.065,388.36,2896,2507.64,1523.979085,1187.575514,388.36,6,16,10,11.22875817,4.98953394,16,3,5,2,3.869281046,0.909052074,3,105,154,49,127.1045752,23.1158956,105,1.66,2.58,0.92,2.337124183,0.253987782,2.58,1,2,1,1.522875817,0.498953394,2,0,4,4,2.091503268,1.995813576,4,0,5,5,2.385620915,2.49476697,0,0,0,0,0,0,0,6,6,0,6,8.88E-16,6,0,1,1,0.477124183,0.498953394,0,0,2,2,1.045751634,0.997906788,2,0,5,5,2.385620915,2.49476697,0,0,0,0,0,0,0,2,6,4,3.908496732,1.995813576,2,11.19,25.786875,14.596875,20.58705882,5.437716263,25.786875,0,2.202,2.202,1.151372549,1.098695374,2.202,0,0,0,0,0,0,70,229,159,145.8627451,79.33358965,70
Ba8Au5.59Si39.01,300,1.77,Ba8 Au5.59 Si39.01,14,79,65,27.29562738,19.72100471,14,9,78,69,66.23041825,17.45746707,78,28.0855,196.966569,168.881069,62.64780372,51.26522693,28.0855,1000,1687,687,1545.352561,210.1013917,1687,2,14,12,11.85608365,3.180006723,14,3,6,3,3.775095057,1.149675216,3,111,215,104,129.4743346,27.40242558,111,0.89,2.54,1.65,1.814403042,0.281187237,1.9,1,2,1,1.893726236,0.189959303,2,0,2,2,1.483269962,0.766450144,2,0,10,10,1.062737643,1.899593026,0,0,14,14,1.4878327,2.659430236,0,2,25,23,5.92756654,4.053798595,4,0,1,1,0.106273764,0.189959303,0,0,4,4,2.966539924,1.532900288,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3.072813688,1.375267605,4,16.7,63.59,46.89,26.60527376,11.25010684,20.44,0,0.773,0.773,0.57328384,0.296232981,0.773,0,0,0,0,0,0,225,229,4,227.091635,0.580491261,227
In1.994Ge0.006O3,700,4.584,In1.994 Ge0.006 O3,8,49,41,24.3796,19.65552,8,75,87,12,82.2048,5.75424,87,15.9994,114.818,98.8186,55.4762264,47.37219168,15.9994,54.8,1211.4,1156.6,205.71798,181.101576,54.8,13,16,3,14.8012,1.43856,16,2,5,3,3.1988,1.43856,2,66,142,76,96.3736,36.44832,66,1.78,3.44,1.66,2.776276,0.7964688,3.44,2,2,0,2,0,2,1,4,3,2.8012,1.43856,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,14,8,8.8012,3.36144,6,0,0,0,0,0,0,2,5,3,3.1988,1.43856,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.1988,1.43856,2,9.105,24.26,15.155,15.165494,7.2725928,9.105,0,0.383,0.383,0.0004596,0.000918097,0,0,0,0,0,0,0,12,225,213,62.9032,61.08384,12
Ba8Ga16Ge30,300,1.52,Ba8 Ga16 Ge30,31,56,25,35.25925926,6.145404664,32,9,79,70,67.14814815,17.22908093,79,69.723,137.327,67.604,81.35896296,16.58312209,72.64,302.91,1211.4,908.49,910.8992593,360.2899314,1211.4,2,14,12,11.92592593,2.941015089,14,4,6,2,4.296296296,0.504801097,4,120,215,95,134.6666667,23.80246914,120,0.89,2.01,1.12,1.784814815,0.265130316,2.01,2,2,0,2,0,2,0,2,2,1.407407407,0.658436214,2,0,10,10,8.518518519,2.524005487,10,0,0,0,0,0,0,2,14,12,11.92592593,2.941015089,14,0,0,0,0,0,0,0,5,5,3.703703704,1.09739369,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3.703703704,1.09739369,4,18.8575,63.59,44.7325,27.7887037,10.6077915,23.005,0,0.383,0.383,0.212777778,0.189135802,0.383,0,0,0,0,0,0,64,229,165,177.8888889,67.48971193,225
Pb0.97Sr0.02TeNa0.01,300,3.065,Pb0.97 Sr0.02 Te1 Na0.01,11,82,71,66.205,15.32115,52,2,90,88,84.375,5.625,90,22.98976928,207.2,184.2102307,165.2831488,40.65934562,127.6,370.87,1050,679.13,664.9802,65.380196,722.66,1,16,15,14.815,1.185,16,3,6,3,5.475,0.50925,5,138,195,57,142.59,4.59,138,0.93,2.33,1.4,2.1942,0.131726,2.1,1,2,1,1.995,0.00995,2,0,4,4,2.97,1.03,4,0,10,10,9.85,0.2955,10,0,14,14,6.79,6.9937,0,1,28,27,21.605,6.20315,16,0,1,1,0.005,0.00995,0,0,4,4,2.94,1.0282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2.945,1.02335,2,28.11,54.23,26.12,31.70353333,3.510329333,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,0,152,229,77,188.52,36.52,152
La3Te3.65Sb0.35,400,2.06,La3 Te3.65 Sb0.35,51,57,6,54.09285714,2.491836735,52,13,90,77,56.75,37.5,90,121.76,138.90547,17.14547,132.1532014,5.787658776,127.6,722.66,1193,470.34,933.2902857,222.6083265,722.66,3,16,13,10.37857143,6.324489796,16,5,6,1,5.428571429,0.489795918,5,138,207,69,167.6214286,33.75306122,138,1.1,2.1,1,1.668928571,0.487653061,2.1,2,2,0,2,0,2,0,4,4,2.235714286,1.916326531,4,1,10,9,6.142857143,4.408163265,10,0,0,0,0,0,0,3,16,13,10.37857143,6.324489796,16,0,0,0,0,0,0,0,3,3,1.192857143,1.02244898,2,0,9,9,3.857142857,4.408163265,0,0,0,0,0,0,0,2,9,7,5.05,3.385714286,2,31.56,36.8975,5.3375,35.51780952,1.182591837,34.76333333,0,0.464,0.464,0.241942857,0.231573878,0.464,0,0,0,0,0,0,152,194,42,170.7,19.97142857,152
CaMnO3,400,3.178,Ca1 Mn1 O3,8,25,17,13.8,6.96,8,7,87,80,64,27.6,87,15.9994,54.938045,38.938645,28.602849,15.1241388,15.9994,54.8,1519,1464.2,559.68,605.856,54.8,2,16,14,11.4,5.52,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.11451724,9.062193103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,95.6,100.32,12
Pb0.98TeNa0.02,400,3.18,Pb0.98 Te1 Na0.02,11,82,71,66.29,15.3958,52,2,90,88,84.71,5.29,90,22.98976928,207.2,184.2102307,165.5578977,40.80926026,127.6,370.87,722.66,351.79,659.3376,63.3224,722.66,1,16,15,14.87,1.13,16,3,6,3,5.47,0.5194,5,138,166,28,142.2,4.2,138,0.93,2.33,1.4,2.201,0.12642,2.1,1,2,1,1.99,0.0198,2,0,4,4,2.98,1.02,4,0,10,10,9.9,0.198,10,0,14,14,6.86,6.9972,0,1,28,27,21.73,6.1446,16,0,1,1,0.01,0.0198,0,0,4,4,2.96,1.0192,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2.97,1.0094,2,28.11,34.76333333,6.653333333,31.448,3.315333333,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,0,152,229,77,188.54,36.54,152
Ca2.4Na0.3Bi0.3Co4O9,300,2,Ca2.4 Na0.3 Bi0.3 Co4 O9,8,83,75,16.0125,9.20203125,8,2,87,85,66.1375,24.21515625,87,15.9994,208.9804,192.981,34.09410192,20.77295214,15.9994,54.8,1768,1713.2,657.2363125,692.71095,54.8,1,16,15,11.85,4.786875,16,2,6,4,2.89375,1.00546875,2,66,176,110,100.9125,39.2765625,66,0.93,3.44,2.51,2.6103125,0.933398438,3.44,1,2,1,1.98125,0.036796875,2,0,4,4,2.30625,1.931484375,4,0,10,10,1.9375,2.83359375,0,0,14,14,0.2625,0.51515625,0,1,29,28,6.4875,2.10046875,6,0,1,1,0.01875,0.036796875,0,0,3,3,1.18125,0.989296875,2,0,3,3,0.75,1.125,0,0,0,0,0,0,0,0,3,3,1.95,0.620625,2,9.105,37.77,28.665,14.5144375,8.220335937,9.105,0,0,0,0,0,0,0,1.5484712,1.5484712,0.3871178,0.5806767,0,12,229,217,93.51875,94.76554688,12
CaYb0.15Mn0.85O3,400,1.571,Ca1 Yb0.15 Mn0.85 O3,8,70,62,15.15,8.58,8,7,87,80,63.61,28.068,87,15.9994,173.054,157.0546,32.14632765,19.37631318,15.9994,54.8,1519,1464.2,546.87,590.484,54.8,2,16,14,11.28,5.664,16,2,6,4,2.86,1.032,2,66,187,121,104.04,45.648,66,1,3.44,2.44,2.5653,1.04964,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,0.85,1.411,0,0,14,14,0.42,0.8148,0,2,16,14,5.67,1.468,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,0.85,1.411,0,0,0,0,0,0,0,0,5,5,2.05,1.003,2,9.105,37.77,28.665,15.82348966,9.876394759,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,5.27E-05,8.75E-05,0,12,225,213,95.84,100.608,12
Ca0.9Ho0.1MnO3,1000,1.471,Ca0.9 Ho0.1 Mn1 O3,8,67,59,14.74,8.088,8,7,87,80,64.52,26.976,87,15.9994,164.93032,148.93092,31.0998954,18.12059448,15.9994,54.8,1747,1692.2,572.32,621.024,54.8,2,16,14,11.42,5.496,16,2,6,4,2.84,1.008,2,66,192,126,102.92,44.304,66,1,3.44,2.44,2.5786,1.03368,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,11,11,0.22,0.4312,0,2,13,11,5.62,1.3032,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,3,3,0.06,0.1176,0,0,5,5,2.26,1.1256,2,9.105,37.77,28.665,14.97378391,8.83701977,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,94.98,99.576,12
NbCo1.10Sn,700,6.232,Nb1 Co1.1 Sn1,27,50,23,38.93548387,8.470343392,27,47,80,33,61.5483871,11.90426639,58,58.933195,118.71,59.776805,89.17512726,21.46201644,58.933195,505.08,2750,2244.92,1677.380645,756.3229969,1768,5,14,9,9.322580645,3.017689906,9,4,5,1,4.64516129,0.4578564,4,126,164,38,142.4516129,13.90218522,126,1.6,1.96,0.36,1.815483871,0.139021852,1.88,1,2,1,1.677419355,0.437044745,2,0,2,2,0.64516129,0.87408949,0,4,10,6,7,1.935483871,7,0,0,0,0,0,0,5,14,9,9.322580645,3.017689906,9,0,1,1,0.322580645,0.437044745,0,0,4,4,1.290322581,1.74817898,0,0,6,6,3,1.935483871,3,0,0,0,0,0,0,3,7,4,4.612903226,1.540062435,3,10.245,33.285,23.04,20.23693548,8.418106139,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.549457523,0.708977448,1.5484712,141,229,88,188.1935484,30.44745057,194
Mg2Si0.995Bi0.005,400,5.41,Mg2 Si0.995 Bi0.005,12,83,71,12.78166667,1.042222222,12,68,86,18,71.34666667,4.462222222,68,24.305,208.9804,184.6754,25.86665817,2.082210889,24.305,544.4,1687,1142.6,1175.762333,339.1209856,923,2,15,13,6.001666667,5.335555556,2,3,6,3,3.005,0.009983333,3,111,148,37,131.0616667,13.30757222,141,1.31,2.02,0.71,1.506866667,0.262488889,1.31,2,2,0,2,0,2,0,3,3,0.668333333,0.891111111,0,0,10,10,0.016666667,0.033277778,0,0,14,14,0.023333333,0.046588889,0,2,29,27,2.708333333,0.944444444,2,0,0,0,0,0,0,0,4,4,1.331666667,1.775555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.331666667,1.775555556,0,20.44,32.95,12.51,22.09418333,1.097274944,22.89,0,0.773,0.773,0.256378333,0.342692372,0,0,0,0,0,0,0,12,227,215,204.6416667,14.83102778,194
NbCo1.10Sn,300,5.802,Nb1 Co1.1 Sn1,27,50,23,38.93548387,8.470343392,27,47,80,33,61.5483871,11.90426639,58,58.933195,118.71,59.776805,89.17512726,21.46201644,58.933195,505.08,2750,2244.92,1677.380645,756.3229969,1768,5,14,9,9.322580645,3.017689906,9,4,5,1,4.64516129,0.4578564,4,126,164,38,142.4516129,13.90218522,126,1.6,1.96,0.36,1.815483871,0.139021852,1.88,1,2,1,1.677419355,0.437044745,2,0,2,2,0.64516129,0.87408949,0,4,10,6,7,1.935483871,7,0,0,0,0,0,0,5,14,9,9.322580645,3.017689906,9,0,1,1,0.322580645,0.437044745,0,0,4,4,1.290322581,1.74817898,0,0,6,6,3,1.935483871,3,0,0,0,0,0,0,3,7,4,4.612903226,1.540062435,3,10.245,33.285,23.04,20.23693548,8.418106139,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.549457523,0.708977448,1.5484712,141,229,88,188.1935484,30.44745057,194
In0.3Co4Sb12,400,2.159,In0.3 Co4 Sb12,27,51,24,45.07361963,8.870488163,51,58,85,27,78.19018405,10.02672287,85,58.933195,121.76,62.826805,106.2146123,23.20560357,121.76,429.75,1768,1338.25,1107.134049,324.351387,903.78,9,15,6,13.49079755,2.222138583,15,4,5,1,4.754601227,0.37035643,5,126,142,16,135.8650307,4.841732847,139,1.78,2.05,0.27,2.003312883,0.068741767,2.05,2,2,0,2,0,2,0,3,3,2.226993865,1.138168542,3,7,10,3,9.263803681,1.111069291,10,0,0,0,0,0,0,9,15,6,13.49079755,2.222138583,15,0,0,0,0,0,0,0,5,5,2.300613497,1.129135459,3,0,3,3,0.736196319,1.111069291,0,0,0,0,0,0,0,3,5,2,3.036809816,0.072264669,3,10.245,31.56,21.315,26.19496933,7.899431668,31.56,0,0,0,0,0,0,0,1.5484712,1.5484712,0.379992933,0.573486266,0,139,194,55,172.3742331,10.61387331,166
Nd2CuO4,700,4.19,Nd2 Cu1 O4,8,60,52,25.85714286,20.40816327,8,19,87,68,64.28571429,25.95918367,87,15.9994,144.242,128.2426,59.43251429,49.6378449,15.9994,54.8,1357.77,1302.97,594.9957143,617.3665306,54.8,3,16,13,11.57142857,5.06122449,16,2,6,4,3.428571429,1.632653061,2,66,201,135,114,54.85714286,66,1.14,3.44,2.3,2.562857143,1.00244898,3.44,1,2,1,1.857142857,0.244897959,2,0,4,4,2.285714286,1.959183673,4,0,10,10,1.428571429,2.448979592,0,0,4,4,1.142857143,1.632653061,0,6,11,5,6.714285714,1.224489796,6,0,1,1,0.142857143,0.244897959,0,0,2,2,1.142857143,0.979591837,2,0,0,0,0,0,0,0,10,10,2.857142857,4.081632653,0,1,10,9,4.142857143,3.346938776,2,9.105,34.81,25.705,16.73,10.33142857,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,94.42857143,94.20408163,12
Ca4.95Na0.05Al2Sb6,400,1.2,Ca4.95 Na0.05 Al2 Sb6,11,51,40,33.19615385,16.43431953,51,2,85,83,53.13461538,35.52662722,85,22.98976928,121.76,98.77023072,75.69682044,42.51985806,121.76,370.87,1115,744.13,986.7241154,97.68701982,903.78,1,15,14,9.688461538,5.921893491,15,3,5,2,4.303846154,0.64260355,5,121,176,55,150.4230769,19.59763314,139,0.93,2.05,1.12,1.578192308,0.445301775,2.05,1,2,1,1.996153846,0.007662722,2,0,3,3,1.538461538,1.349112426,3,0,10,10,4.615384615,4.970414201,10,0,0,0,0,0,0,1,15,14,8.15,6.323076923,15,0,1,1,0.003846154,0.007662722,0,0,5,5,2.153846154,1.656804734,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2.157692308,1.652071006,3,16.48,37.77,21.29,31.59566667,4.701992308,31.56,0,0,0,0,0,0,0,0,0,0,0,0,166,229,63,197.7846154,29.33964497,166
Ti0.98Nb0.02NiSn,1000,5.975,Ti0.98 Nb0.02 Ni1 Sn1,22,50,28,33.46,11.1272,28,43,80,37,61.36,12.42666667,61,47.867,118.71,70.843,75.39039587,29.11328254,58.6934,505.08,2750,2244.92,1396.753333,594.4488889,505.08,4,14,10,9.34,3.546666667,10,4,5,1,4.34,0.4488,4,124,164,40,141.0266667,12.70222222,124,1.54,1.96,0.42,1.803733333,0.175022222,1.91,1,2,1,1.993333333,0.013244444,2,0,2,2,0.666666667,0.888888889,0,2,10,8,6.68,3.093333333,8,0,0,0,0,0,0,4,14,10,9.34,3.546666667,10,0,1,1,0.006666667,0.013244444,0,0,4,4,1.333333333,1.777777778,0,0,8,8,3.32,3.093333333,0,0,0,0,0,0,0,2,8,6,4.66,2.213333333,2,10.32,33.285,22.965,20.10826667,8.784488889,10.32,0,0,0,0,0,0,0,0.5953947,0.5953947,0.198472261,0.264614959,0,141,229,88,186.9,30.6,141
CuCrO2,1000,3.708,Cu1 Cr1 O2,8,29,21,17.25,9.25,8,49,87,38,71.75,15.25,87,15.9994,63.546,47.5466,36.885225,20.885825,15.9994,54.8,2180,2125.2,911.8425,857.0425,54.8,6,16,10,12.25,3.75,16,2,4,2,3,1,2,66,139,73,100.75,34.75,66,1.66,3.44,1.78,2.61,0.83,3.44,1,2,1,1.5,0.5,2,0,4,4,2,2,4,0,10,10,3.75,3.75,0,0,0,0,0,0,0,6,11,5,7.25,1.875,6,0,1,1,0.5,0.5,0,0,2,2,1,1,2,0,5,5,1.25,1.875,0,0,0,0,0,0,0,1,6,5,2.75,1.625,2,9.105,11.19,2.085,10.1175,1.0125,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,119.5,107.5,12
Ca0.9Yb0.1MnO3,1000,1.588,Ca0.9 Yb0.1 Mn1 O3,8,70,62,14.8,8.16,8,7,87,80,64.64,26.832,87,15.9994,173.054,157.0546,31.262369,18.3155628,15.9994,54.8,1519,1464.2,559.22,605.304,54.8,2,16,14,11.42,5.496,16,2,6,4,2.84,1.008,2,66,187,121,102.82,44.184,66,1,3.44,2.44,2.5792,1.03296,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,14,14,0.28,0.5488,0,2,16,14,5.68,1.3248,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.04151724,8.945393103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,95.6,100.32,12
Ba8Ga18Ge28,300,1.5,Ba8 Ga18 Ge28,31,56,25,35.22222222,6.156378601,32,9,79,70,66.96296296,17.17421125,79,69.723,137.327,67.604,81.25092593,16.61513306,72.64,302.91,1211.4,908.49,877.2514815,382.894321,1211.4,2,14,12,11.88888889,2.930041152,14,4,6,2,4.296296296,0.504801097,4,120,215,95,134.7407407,23.78052126,120,0.89,2.01,1.12,1.777407407,0.262935528,2.01,2,2,0,2,0,2,0,2,2,1.37037037,0.652949246,2,0,10,10,8.518518519,2.524005487,10,0,0,0,0,0,0,2,14,12,11.88888889,2.930041152,14,0,0,0,0,0,0,0,5,5,3.740740741,1.108367627,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3.740740741,1.108367627,4,18.8575,63.59,44.7325,27.63509259,10.6533059,23.005,0,0.383,0.383,0.198592593,0.191237311,0.383,0,0,0,0,0,0,64,229,165,171.9259259,71.95061728,225
